ticker,name_x,search_query
PNP,PAN PACIFIC RETAIL PROPERTIES INC,pan pacific retail properties
NXL.,NEW PLAN EXCEL REALTY TRUST INC.,new plan excel realty
AW,ALLIED WASTE INDUSTRIES INC.,allied waste industries
RESP,RESPIRONICS,respironics
CYTC,CYTYC CORPORATION,cytyc
CYN,CITY NATIONAL CORP,city national
STN.1,STATION CASINOS INC.,station casinos
SVC,SERVICE CORPORATION INTERNATIONAL,service international
RHDCQ,RH DONNELLY CO,rh donnelly
VAL,VALSPAR CORP,valspar
IDMCQ,INDYMAC BANCORP INC.,indymac bancorp
LCC,US AIRWAYS GROUP INC.,us airways group
BOL,BAUSCH & LOMB INC.,bausch lomb
SFD,SMITHFIELD FOODS INC.,smithfield foods
AMH,AMERUS GROUP CO.,amerus group
PSD,PUGET ENERGY INC.,puget energy
SUG,SOUTHERN UNION,southern union
RSHCQ,RS LEGACY CORP,rs legacy
GYI,GETTY IMAGES INC.,getty images
SKYF.,SKY FINANCIAL GROUP,sky financial group
IRF,INTERNATIONAL RECTIFIER CORP.,international rectifier
CAL,CONTINENTAL AIRLINES B,continental airlines
REY,THE REYNOLDS AND REYNOLDS COMPANY,the reynolds and reynolds
GXP,GREAT PLAINS ENERGY INC,great plains energy
SFG,STANCORP FINANCIAL GROUP INC.,stancorp financial group
NVT,NAVTEQ CORPORATION,navteq
TEK,TEKTRONIX INC.,tektronix
GPRO,GEN-PROBE INC.,gen probe
CSE,CAPITALSOURCE INC,capitalsource
MVK,MAVERICK TUBE CORPORATION,maverick tube
WMG,WARNER MUSIC GROUP CORP.,warner music group
PPP.3,POGO PRODUCING CO.,pogo producing
EYE,ADVANCED MEDICAL OPTICS,advanced medical optics
NFS,NATIONWIDE FINANCIAL SERVICES INC.,nationwide financial services
SKS,SAKS INC.,saks
WTNY,WHITNEY HOLDING CORP,whitney holding
VTS,VERITAS DGC INC.,veritas dgc
CYT,CYTEC INDUSTRIES INC,cytec industries
FCS,FAIRCHILD SEMICONDUCTOR INTERNATIO,fairchild semiconductor internatio
LI,LAIDLAW INTL,laidlaw intl
TBH,TELEFLEX INC,teleflex
PHLY,PHILADELPHIA CONS HLDG,philadelphia cons hldg
CLP,COLONIAL PROPERTIES TRUST REIT,colonial properties reit
SY,SYBASE INC,sybase
CNW,CON-WAY INC.,con way
NHP,NATIONWIDE HEALTH PROPERTIES INC.,nationwide health properties
PLCM,POLYCOM INC.,polycom
THE,TODCO,todco
RAMP,ACXIOM HOLDINGS INC,acxiom holdings
OSIP,OSI PHARMACEUTICALS,osi pharmaceuticals
TEG,INTEGRYS ENERGY GROUP INC.,integrys energy group
LEAP,LEAP WIRELESS INTERNATIONAL INC,leap wireless international
SIE,SIERRA HEALTH,sierra health
JLG,JLG INDUSTRIES INC.,jlg industries
VSEA,VARIAN SEMICONDUCTOR EQUIPMENT ASS,varian semiconductor equipment ass
OSI,OSI RESTAURANT PARTNERS INC.,osi restaurant partners
DYN,DYNEGY INC. (CL A),dynegy cl
DLM,DEL MONTE FOODS,del monte foods
CEMJQ,CHEMTURA CORP,chemtura
KAR.1,ADESA INC.,adesa
NOVL,NOVELL,novell
BID,SOTHEBYS,sothebys
HYSL,HYPERION SOLUTIONS CORPORATION,hyperion solutions
PPS,POST PROPERTIES INC.,post properties
TIE,TITANIUM METALS CORP.,titanium metals
FLA,FLORIDA EAST COAST INDUSTRIES INC.,florida east coast industries
NTRI,NUTRISYSTEM INC,nutrisystem
KWKAQ,QUICKSILVER RESOURCES INC,quicksilver resources
URS,URS CORP,urs
DJ,DOW JONES & COMPANY INC.,dow jones
KFN,KKR FINANCIAL CORP.,kkr financial
BJ,BJS WHOLESALE CLUB HOLDINGS INC (P,bjs wholesale club holdings
RYL,RYLAND GROUP INC.,ryland group
IMCL,IMCLONE SYSTEMS INC.,imclone systems
NLC,NALCO HOLDING,nalco holding
TSFG,SOUTH FINANCIAL GRP,south financial grp
FDRY,FOUNDRY NETWORKS INC.,foundry networks
AZR.1,AZTAR CORPORATION,aztar
CTV,COMMSCOPE,commscope
MCRS,MICROS SYSTEMS INC,micros systems
KCG,KNIGHT CAPITAL GROUP INC. CL A,knight capital group cl
GAS.2,NICOR INC,nicor
SHAW,SHAW GROUP INC.,shaw group
THQI,THQ INC.,thq
FRK,FLORIDA ROCK IND,florida rock ind
VRX.1,VALEANT PHARMACEUTICALS,valeant pharmaceuticals
MNT,MENTOR CORP,mentor
ACLI,AMERICAN COMMERCIAL LINES INC.,american commercial lines
PSYS.,PSYCHIATRIC SOLUTIONS INC,psychiatric solutions
ADRX,ANDRX CORPORATION,andrx
AQNT,AQUANTIVE,aquantive
NEWCQ,NEW CENTURY FINANCIAL CORP.,new century financial
VCLK,VALUECLICK INC.,valueclick
HPC,HERCULES INC.,hercules
ISE,INTERNATIONAL SECURITIES EXCHANGE,international securities exchange
WRE,WASHINGTON REAL ESTATE INVESTMENT,washington real estate investment
TRBS,TEXAS REGIONAL BANCSHARES INC.,texas regional bancshares
GLYT,GENLYTE GROUP,genlyte group
MRX,MEDICIS PHARMACEUTICAL CORP.,medicis pharmaceutical
ADCT,ADC TELECOMMUNICATIONS,adc telecommunications
CHRS,CHARMING SHOPPES,charming shoppes
OS,OREGON STEEL MILLS INC.,oregon steel mills
DRS,DRS TECHNOLOGIES,drs technologies
FSTO,FOREST OIL CORP,forest oil
GDI,GARDNER DENVER INC.,gardner denver
WW,WATSON WYATT & CO HLDGS,watson wyatt hldgs
COMS,3COM CORP,3com
CWTR,COLDWATER CREEK INC.,coldwater creek
AH.Z,ARMOR HOLDINGS,armor holdings
CEI,CRESCENT REAL ESTATE EQUITY,crescent real estate equity
MEE,MASSEY ENERGY CO.,massey energy
WNG,WASHINGTON GROUP INTERNATIONAL,washington group international
CYMI,CYMER INC.,cymer
DSG,DICKS SPORTING INC,dicks sporting
RT,RUBY TUESDAY INC,ruby tuesday
PETC,PETCO ANIMAL SUPPLIES STORES INC.,petco animal supplies stores
PSS,COLLECTIVE BRANDS INC.,collective brands
DFG,DELPHI FINANCIAL GROUP INC. CL A,delphi financial group cl
KYPH,KYPHON INC,kyphon
UCBHQ,UCBH HOLDINGS INC.,ucbh holdings
OCAS,OHIO CASUALTY,ohio casualty
HTR,HUNTSMAN CORP,huntsman
ICOS,ICOS CORPORATION,icos
CGI.1,COMMERCE GROUP,commerce group
WEBX,WEBEX COMMS,webex comms
TRH,TRANSATLANTIC HOLDINGS,transatlantic holdings
FNFG,FIRST NIAGARA FINANCIAL GROUP INC,first niagara financial group
ILA,AQUILA INC,aquila
NTY,NBTY  INC,nbty
NAL,NEWALLIANCE BANCSHARES INC.,newalliance bancshares
UCO.1,UNIVERSAL COMPRESSION HLDGS COM,universal compression hldgs
THX,HOUSTON EXPL CO,houston expl
APPB,APPLEBEES INTL,applebees intl
AROPQ,AEROPOSTALE INC,aeropostale
ARS.3,ALERIS INTERNATIONAL INC.,aleris international
PNX,PHOENIX COS. INC.,phoenix cos
CHAP,CHAPARRAL STEEL,chaparral steel
PGL,PEOPLES ENERGY CORPORATION,peoples energy
MPS,MPS GROUP,mps group
MPG,MPG OFFICE TRUST REIT INC,mpg office reit
HRH,HILB ROGAL & HOBBS,hilb rogal hobbs
DQE,DUQUESNE LIGHT COMPANY,duquesne light
AHMIQ,AMERICAN HOME MORTGAGE INVESTMENT,american home mortgage investment
NFP,NATIONAL FINANCIAL PARTNERS CORP.,national financial partners
ELX,EMULEX CORP,emulex
AGP,AMERIGROUP CORP.,amerigroup
BLUD,IMMUCOR INC,immucor
HGSI,HUMAN GENOME SCIENCES INC.,human genome sciences
MYOG,MYOGEN INC.,myogen
LSS,LONE STAR TECH,lone star tech
IKN,IKON OFFICE SOLUTIONS INC.,ikon office solutions
HK.1,PETROHAWK ENERGY CORP,petrohawk energy
FCL.2,FOUNDATION COAL HOLDINGS,foundation coal holdings
HHS,HARTE HANKS INC,harte hanks
ZNT,ZENITH NATIONAL INSURANCE CORP,zenith national insurance
ANDW,ANDREW CORP.,andrew
ESND,ESSENDANT INC,essendant
FILE,FILENET CORPORATION,filenet
BRGP,BEARINGPOINT INC.,bearingpoint
LDG,LONGS DRUG STORES CORP.,longs drug stores
AFFX,AFFYMETRIX INC.,affymetrix
BEE,STRATEGIC HOTELS AND RESORTS REIT,strategic hotels and resorts reit
NSS,NS GROUP INC.,ns group
TWTC,TW TELECOM INC CLASS A,tw telecom
ENERQ,ENERGY CONVERSION DEVICES INC,energy conversion devices
AFR,AMERICAN FINANCIAL REALTY TRUST,american financial realty
DLP,DELTA & PINE LAND,delta pine land
TBL,TIMBERLAND CO,timberland
BLC,BELO CORP. SERIES A,belo
CNET.,CNET NETWORKS,cnet networks
CNL,CLECO CORP.,cleco
GBBK,GREATER BAY BANCORP,greater bay bancorp
VARI,VARIAN INC,varian
LTM,LIFE TIME FITNESS INC.,life time fitness
GYMB,GYMBOREE CORP,gymboree
DWNFQ,DOWNEY FINANCIAL CORP.,downey financial
Y,ALLEGHANY  CORP,alleghany
MAFB,MAF BANCORP,maf bancorp
KCI,KINETIC CONCEPTS INC.,kinetic concepts
GLBL,GLOBAL INDUSTRIES LTD.,global industries
DHC,DIVERSIFIED HEALTHCARE TRUST,diversified healthcare
LFB,LONGVIEW FIBRE COMPANY,longview fibre
PSSI,PSS WORLD MEDICAL INC.,pss world medical
PNK,PINNACLE ENTERTAINMENT INC,pinnacle entertainment
ME,MARINER ENERGY,mariner energy
MOGN,MGI PHARMA INC,mgi pharma
CHZ,CHITTENDEN CORP,chittenden
AVCT,AVOCENT CORP,avocent
BUCY,BUCYRUS INTERNATIONAL,bucyrus international
PALM,PALM INC.,palm
PAS,PEPSIAMERICAS INC,pepsiamericas
TRIDQ,TRIDENT MICROSYSTEMS INC,trident microsystems
ZLC,ZALE CORP.,zale
SRZ,SUNRISE SENIOR LIVING INC.,sunrise senior living
IN,INTERMEC INC.,intermec
BGPIQ,BORDERS GROUP INC,borders group
TCC.1,TRAMMELL CROW COMPANY,trammell crow
MEDX,MEDAREX INC,medarex
GTRC,GUITAR CENTER INC.,guitar center
BSG,BISYS GROUP,bisys group
GW,GREY WOLF,grey wolf
HEW,HEWITT ASSOCIATES INC,hewitt associates
AMMD,AMERICAN MEDICAL SYSTEMS HOLDINGS,american medical systems holdings
EAC.1,ENCORE ACQUISITION CO,encore acquisition
PTRY,PANTRY INC.,pantry
RAH,RALCORP HOLDINGS INC.,ralcorp holdings
POS,CATALINA MARKETING CORP.,catalina marketing
SWFT.1,SWIFT TRANS,swift trans
TWB,TWEEN BRANDS,tween brands
INGR.,INTERGRAPH CORPORATION,intergraph
PCBC,PACIFIC CAPITAL BANCORP,pacific capital bancorp
RGC,REGAL ENTERTAINMENT GROUP CLASS A,regal entertainment group
RDA.1,THE READERS DIGEST ASSOCIATION INC,the readers digest association
AM,AMERICAN GREETINGS CORP. CL A,american greetings cl
SIRF,SIRF TECHNOLOGY HOLDINGS,sirf technology holdings
PMCS,PMC-SIERRA INC.,pmc sierra
ARRS,ARRIS GROUP INC.,arris group
ARTC,ARTHROCARE CORP,arthrocare
WHQA,W-H ENERGY SVCS,energy svcs
PBKS,PROVIDENT BANKSHARES CORP,provident bankshares
PULS,PULSE ELECTRONICS CORP.,pulse electronics
TXI,TEXAS INDUSTRIES INC,texas industries
STSA,STERLING FINANCIAL CORP,sterling financial
DPTR,DELTA PETROLEUM CORP.,delta petroleum
PER.1,PEROT SYSTEMS CORPORATION,perot systems
YCC,YANKEE CANDLE COMPANY INC.,yankee candle
GI,GIANT INDUSTRIES,giant industries
IRC,INLAND REAL ESTATE CORP.,inland real estate
VMSI,VENTANA MEDICAL SYSTEMS,ventana medical systems
CBST,CUBIST PHARMACEUTICALS INC.,cubist pharmaceuticals
INFA,INFORMATICA CORP.,informatica
UNS,UNISOURCE ENERGY CORP.,unisource energy
SRX,SRA INTERNATIONAL INC. CL A,sra international cl
IMGC,INTERMAGNETICS GENERAL CORPORATION,intermagnetics general
EAGL.1,EGL INC,egl
BN,BANTA CORPORATION,banta
MVL,MARVEL ENTERTAINMENT,marvel entertainment
SFC.Z,SPIRIT FINANCE CORP.,spirit finance
GISX,GLOBAL IMAGING SYSTEMS,global imaging systems
LFGRQ,LANDAMERICA FINANCIAL GROUP,landamerica financial group
EFD,EFUNDS CORP,efunds
CRBCD,CITIZENS REPUBLIC BANCORP INC.,citizens republic bancorp
ORB,ORBITAL SCIENCES CORP.,orbital sciences
ARB,ARBITRON INC.,arbitron
ARXT,ADAMS RESPIRATORY THERAPEUTICS INC,adams respiratory therapeutics
PGPDQ,PILGRIMS PRIDE CORP,pilgrims pride
USPI.1,UNITED SURGICAL PARTNERS INTERNATI,united surgical partners internati
CRDN,CERADYNE INC.,ceradyne
